시구,설치장소,주소,Latitude,Longitude,급속충전기(대),완속충전기(대),지원차종,x,y
서울특별시,래미안상도3차아파트,서울특별시 동작구 대방동 상도로 53길 8,37.499352,126.9547334,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,빙수골 장미주차장,서울특별시 동작구 상도동 301-132,37.4932987,126.9337114,1,0,"SM3 Z.E,테슬라",,
서울특별시,서울시여성가족재단,서울특별시 동작구 대방동 345-1,37.5115773,126.9271429,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,마포자이2차아파트,서울특별시 마포구 대흥동 804,37.5491849,126.9420139,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,마포중앙도서관,서울특별시 마포구 성산동 275-3,37.5637867,126.9084724,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,마포트라팰리스2차,서울특별시 마포구 아현동 738,37.5521763,126.9555087,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,마포한강2차 푸르지오아파트,서울특별시 마포구 합정동 473,37.5510529,126.9118656,0,5,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,상암월드컵경기장,서울특별시 마포구 성산동 531,37.5673826,126.8947017,7,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서울서부지방검찰청,서울특별시 마포구 공덕동 105-1,37.5494386,126.9554936,1,0,"SM3 Z.E,테슬라",,
서울특별시,서울신용보증재단,서울특별시 마포구 공덕동 168,37.5490064,126.9539966,1,0,"SM3 Z.E,테슬라",,
서울특별시,신촌포스빌,서울특별시 마포구 노고산동 1-3,37.5562254,126.9422693,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,중부전력지사,서울특별시 마포구 합정동 55-1,37.5445324,126.9164174,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,DMC래미안e편한세상,서울특별시 서대문구 북가좌동 481,37.5726485,126.9105509,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,DMC센트럴아이파크아파트,서울특별시 서대문구 남가좌동 388,37.5791313,126.9206681,0,6,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,DMC아이파크 아파트,서울특별시 서대문구 북가좌동 458,37.576394,126.914527,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,남가좌삼성 아파트,서울특별시 서대문구 남가좌동 377,37.5779334,126.9165623,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,돈의문센트레빌 아파트,서울특별시 서대문구 냉천동 261,37.5661386,126.9615836,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,무악청구2차 아파트,서울특별시 서대문구 홍제동 453-1,37.5812592,126.9515064,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서부수도사업소,서울특별시 서대문구 홍제동 38-69,37.5828587,126.9522469,3,0,"SM3 Z.E,테슬라",,
서울특별시,연희대우 아파트,서울특별시 서대문구 연희동 739,37.5615201,126.929515,0,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,연희동 홍연2교 옆 노상주차장,서울특별시 서대문구 연희동 736,37.5765301,126.9293526,1,0,"SM3 Z.E,테슬라",,
서울특별시,LH서초4단지 아파트,서울특별시 서초구 우면동 788,37.4584613,127.023655,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,LH서초5단지,서울특별시 서초구 우면동 368-1,37.4659338,127.0179442,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,강남전력지사,서울특별시 서초구 서초동 1355,37.4856988,127.0279981,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,구룡공원 공영주차장,서울특별시 서초구 양재동 399,37.4715441,127.0487309,1,0,"SM3 Z.E,테슬라",,
서울특별시,국립 중앙도서관,서울특별시 서초구 반포동 산 94-1,37.4966945,127.0023142,2,0,"SM3 Z.E,테슬라",,
서울특별시,남서울농협 하나로마트 우면점,서울특별시 서초구 우면동 763,37.4568719,127.0159853,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,대한무역투자진흥공사,서울특별시 서초구 염곡동 300-9,37.4652142,127.0446694,2,0,"SM3 Z.E,테슬라",,
서울특별시,동산마을 공영주차장,서울특별시 서초구 양재동 370-5,37.4700905,127.0443091,1,0,"SM3 Z.E,테슬라",,
서울특별시,래미안서초7차 아파트,서울특별시 서초구 서초동 1642-34,37.4920341,127.0175232,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,래미안서초스위트 아파트,서울특별시 서초구 서초동 1301-6,37.5022563,127.0204795,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,롯데캐슬헤론,서울특별시 서초구 방배동 754-1,37.4969395,126.9843066,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,리첸시아방배,서울특별시 서초구 방배동 755-14,37.4972802,126.9857084,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,반포동방음언덕형 공영주차장,서울특별시 서초구 반포동 730-2,37.5047903,127.0186205,1,0,"SM3 Z.E,테슬라",,
서울특별시,반포리체 아파트,서울특별시 서초구 반포동 30-26,37.5037666,127.0133229,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,반포미도아파트,서울특별시 서초구 반포동 60-4,37.5013538,127.0087793,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,방배1차 e편한세상,서울특별시 서초구 방배동 884-2,37.4871689,126.9989947,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
