시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종,x,y
서울특별시,마포한강2차 푸르지오아파트,서울특별시 마포구 합정동 473,0,5,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,상암월드컵경기장,서울특별시 마포구 성산동 531,7,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서울서부지방검찰청,서울특별시 마포구 공덕동 105-1,1,0,"SM3 Z.E,테슬라",,
서울특별시,서울신용보증재단,서울특별시 마포구 공덕동 168,1,0,"SM3 Z.E,테슬라",,
서울특별시,신촌포스빌,서울특별시 마포구 노고산동 1-3,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,중부전력지사,서울특별시 마포구 합정동 55-1,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,DMC래미안e편한세상,서울특별시 서대문구 북가좌동 481,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,DMC센트럴아이파크아파트,서울특별시 서대문구 남가좌동 388,0,6,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,DMC아이파크 아파트,서울특별시 서대문구 북가좌동 458,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,남가좌삼성 아파트,서울특별시 서대문구 남가좌동 377,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,돈의문센트레빌 아파트,서울특별시 서대문구 냉천동 261,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,무악청구2차 아파트,서울특별시 서대문구 홍제동 453-1,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서부수도사업소,서울특별시 서대문구 홍제동 38-69,3,0,"SM3 Z.E,테슬라",,
